Date,quarter_trend,return
1970-09-01,MIN,0.0341
1970-10-01,MAX,-0.0125
1970-11-02,MAX,0.0474
1970-12-01,MAX,0.0568
1971-01-04,MAX,0.0405
1971-02-01,MAX,0.0091
1971-03-01,MAX,0.0368
1971-04-01,MAX,0.0363
1971-05-03,MAX,-0.0416
1971-06-01,MAX,-0.0093
1971-07-01,MIN,-0.0316
1971-08-02,MIN,0.0361
1971-09-01,MIN,-0.007
1971-10-01,MAX,-0.0418
1971-11-01,MAX,-0.0025
1971-12-01,MAX,0.0862
1972-01-03,MAX,0.0181
1972-02-01,MAX,0.0253
1972-03-01,MAX,0.0059
1972-04-03,MAX,0.0044
1972-05-01,MAX,0.0173
1972-06-01,MAX,-0.0218
1972-07-03,MAX,0.0023
1972-08-01,MAX,0.0345
1972-09-01,MAX,-0.0049
1972-10-02,MAX,0.0093
1972-11-01,MAX,0.0456
1972-12-01,MAX,0.0118
1973-01-02,MAX,-0.0171
1973-02-01,MAX,-0.0375
1973-03-01,MAX,-0.0014
1973-04-02,MIN,-0.0408
1973-05-01,MIN,-0.0189
1973-06-01,MIN,-0.0066
1973-07-02,MIN,0.038
1973-08-01,MIN,-0.0367
1973-09-04,MIN,0.0401
1973-10-01,MIN,-0.0013
1973-11-01,MIN,-0.1139
1973-12-03,MIN,0.0166
1974-01-02,MIN,-0.01
1974-02-01,MIN,-0.0036
1974-03-01,MIN,-0.0233
1974-04-01,MAX,-0.0391
1974-05-01,MAX,-0.0336
1974-06-03,MAX,-0.0147
1974-07-01,MIN,-0.0778
1974-08-01,MIN,-0.0903
1974-09-03,MIN,-0.1193
1974-10-01,MIN,0.163
1974-11-01,MIN,-0.0532
1974-12-02,MIN,-0.0202
1975-01-02,MIN,0.1228
1975-02-03,MIN,0.0599
1975-03-03,MIN,0.0217
1975-04-01,MAX,0.0473
1975-05-01,MAX,0.0441
1975-06-02,MAX,0.0443
1975-07-01,MAX,-0.0677
1975-08-01,MAX,-0.0211
1975-09-02,MAX,-0.0346
1975-10-01,MIN,0.0616
1975-11-03,MIN,0.0247
1975-12-01,MIN,-0.0115
1976-01-02,MAX,0.1183
1976-02-02,MAX,-0.0114
1976-03-01,MAX,0.0307
1976-04-01,MAX,-0.011
1976-05-03,MAX,-0.0144
1976-06-01,MAX,0.0409
1976-07-01,MAX,-0.0081
1976-08-02,MAX,-0.0051
1976-09-01,MAX,0.0226
1976-10-01,MAX,-0.0222
1976-11-01,MAX,-0.0078
1976-12-01,MAX,0.0525
1977-01-03,MAX,-0.0505
1977-02-01,MAX,-0.0217
1977-03-01,MAX,-0.014
1977-04-01,MIN,2e-4
1977-05-02,MIN,-0.0236
1977-06-01,MIN,0.0454
1977-07-01,MIN,-0.0162
1977-08-01,MIN,-0.021
1977-09-01,MIN,-0.0025
1977-10-03,MIN,-0.0434
1977-11-01,MIN,0.027
1977-12-01,MIN,0.0028
1978-01-03,MIN,-0.0615
1978-02-01,MIN,-0.0248
1978-03-01,MIN,0.0249
1978-04-03,MIN,0.0854
1978-05-01,MIN,0.0042
1978-06-01,MIN,-0.0176
1978-07-03,MAX,0.053900000000000003
1978-08-01,MAX,0.0259
1978-09-01,MAX,-0.0073
1978-10-02,MAX,-0.0916
1978-11-01,MAX,0.0166
1978-12-01,MAX,0.0149
1979-01-02,MIN,0.0397
1979-02-01,MIN,-0.0365
1979-03-01,MIN,0.0552
1979-04-02,MAX,0.0017
1979-05-01,MAX,-0.0263
1979-06-01,MAX,0.0387
1979-07-02,MAX,0.0087
1979-08-01,MAX,0.0531
1979-09-04,MAX,0
1979-10-01,MAX,-0.0686
1979-11-01,MAX,0.0426
1979-12-03,MAX,0.0168
1980-01-02,MAX,0.0576
1980-02-01,MAX,-0.0044
1980-03-03,MAX,-0.1018
1980-04-01,MIN,0.0411
1980-05-01,MIN,0.0466
1980-06-02,MIN,0.027
1980-07-01,MAX,0.065
1980-08-01,MAX,0.0058
1980-09-02,MAX,0.0252
1980-10-01,MAX,0.016
1980-11-03,MAX,0.1024
1980-12-01,MAX,-0.0339
1981-01-02,MAX,-0.0457
1981-02-02,MAX,0.0133
1981-03-02,MAX,0.036
1981-04-01,MAX,-0.0235
1981-05-01,MAX,-0.0017
1981-06-01,MAX,-0.0104
1981-07-01,MAX,-0.0022
1981-08-03,MAX,-0.0621
1981-09-01,MAX,-0.0538
1981-10-01,MIN,0.0491
1981-11-02,MIN,0.0366
1981-12-01,MIN,-0.0301
1982-01-04,MAX,-0.0175
1982-02-01,MAX,-0.0605
1982-03-01,MAX,-0.0102
1982-04-01,MIN,0.04
1982-05-03,MIN,-0.0392
1982-06-01,MIN,-0.0203
1982-07-01,MIN,-0.023
1982-08-02,MIN,0.116
1982-09-01,MIN,0.0076
1982-10-01,MAX,0.1104
1982-11-01,MAX,0.036
1982-12-01,MAX,0.0152
1983-01-03,MAX,0.0331
1983-02-01,MAX,0.019
1983-03-01,MAX,0.0331
1983-04-04,MAX,0.075
1983-05-02,MAX,-0.0124
1983-06-01,MAX,0.0323
1983-07-01,MAX,-0.0303
1983-08-01,MAX,0.0113
1983-09-01,MAX,0.0102
1983-10-03,MAX,-0.0152
1983-11-01,MAX,0.0174
1983-12-01,MAX,-0.0088
1984-01-03,MAX,-0.0092
1984-02-01,MAX,-0.0389
1984-03-01,MAX,0.0135
1984-04-02,MIN,0.0055
1984-05-01,MIN,-0.0594
1984-06-01,MIN,0.0175
1984-07-02,MIN,-0.0165
1984-08-01,MIN,0.1063
1984-09-04,MIN,-0.0035
1984-10-01,MAX,-1e-4
1984-11-01,MAX,-0.0151
1984-12-03,MAX,0.0224
1985-01-02,MIN,0.0741
1985-02-01,MIN,0.0086
1985-03-01,MIN,-0.0029
1985-04-01,MAX,-0.0046
1985-05-01,MAX,0.0541
1985-06-03,MAX,0.0121
1985-07-01,MAX,-0.0048
1985-08-01,MAX,-0.012
1985-09-03,MAX,-0.0347
1985-10-01,MIN,0.0425
1985-11-01,MIN,0.0651
1985-12-02,MIN,0.0451
1986-01-02,MAX,0.0024
1986-02-03,MAX,0.0715
1986-03-03,MAX,0.0528
1986-04-01,MAX,-0.0141
1986-05-01,MAX,0.0502
1986-06-02,MAX,0.0141
1986-07-01,MAX,-0.0587
1986-08-01,MAX,0.0712
1986-09-02,MAX,-0.0854
1986-10-01,MAX,0.0547
1986-11-03,MAX,0.0215
1986-12-01,MAX,-0.0283
1987-01-02,MAX,0.1318
1987-02-02,MAX,0.0369
1987-03-02,MAX,0.0264
1987-04-01,MAX,-0.0115
1987-05-01,MAX,0.006
1987-06-01,MAX,0.0479
1987-07-01,MAX,0.0482
1987-08-03,MAX,0.035
1987-09-01,MAX,-0.0242
1987-10-01,MAX,-0.2176
1987-11-02,MAX,-0.0853
1987-12-01,MAX,0.0729
1988-01-04,MIN,0.0404
1988-02-01,MIN,0.0418
1988-03-01,MIN,-0.0333
1988-04-04,MAX,0.0094
1988-05-02,MAX,0.0032
1988-06-01,MAX,0.0433
1988-07-01,MAX,-0.0054
1988-08-01,MAX,-0.0386
1988-09-01,MAX,0.0397
1988-10-03,MIN,0.026
1988-11-01,MIN,-0.0189
1988-12-01,MIN,0.0147
1989-01-03,MAX,0.0711
1989-02-01,MAX,-0.0289
1989-03-01,MAX,0.0208
1989-04-03,MAX,0.0501
1989-05-01,MAX,0.0351
1989-06-01,MAX,-0.0079
1989-07-03,MAX,0.0884
1989-08-01,MAX,0.0155
1989-09-01,MAX,-0.0065
1989-10-02,MAX,-0.0252
1989-11-01,MAX,0.0165
1989-12-01,MAX,0.0214
1990-01-02,MAX,-0.0688
1990-02-01,MAX,0.0085
1990-03-01,MAX,0.0243
1990-04-02,MAX,-0.0269
1990-05-01,MAX,0.092
1990-06-01,MAX,-0.0089
1990-07-02,MAX,-0.0052
1990-08-01,MAX,-0.0943
1990-09-04,MAX,-0.0512
1990-10-01,MIN,-0.0067
1990-11-01,MIN,0.0599
1990-12-03,MIN,0.0248
1991-01-02,MAX,0.0415
1991-02-01,MAX,0.0673
1991-03-01,MAX,0.0222
1991-04-01,MAX,3e-4
1991-05-01,MAX,0.0386
1991-06-03,MAX,-0.0479
1991-07-01,MAX,0.0449
1991-08-01,MAX,0.0196
1991-09-03,MAX,-0.0191
1991-10-01,MAX,0.0118
1991-11-01,MAX,-0.0439
1991-12-02,MAX,0.1116
1992-01-02,MAX,-0.0199
1992-02-03,MAX,0.0096
1992-03-02,MAX,-0.0218
1992-04-01,MAX,0.0279
1992-05-01,MAX,0.001
1992-06-01,MAX,-0.0174
1992-07-01,MAX,0.0394
1992-08-03,MAX,-0.024
1992-09-01,MAX,0.0091
1992-10-01,MAX,0.0021
1992-11-02,MAX,0.0303
1992-12-01,MAX,0.0101
1993-01-04,MAX,0.007
1993-02-01,MAX,0.0105
1993-03-01,MAX,0.0187
1993-04-01,MAX,-0.0254
1993-05-03,MAX,0.0227
1993-06-01,MAX,8e-4
1993-07-01,MAX,-0.0053
1993-08-02,MAX,0.0344
1993-09-01,MAX,-0.01
1993-10-01,MAX,0.0194
1993-11-01,MAX,-0.0129
1993-12-01,MAX,0.0101
1994-01-03,MAX,0.0325
1994-02-01,MAX,-0.03
1994-03-01,MAX,-0.0457
1994-04-04,MIN,0.0115
1994-05-02,MIN,0.0124
1994-06-01,MIN,-0.0268
1994-07-01,MAX,0.0315
1994-08-01,MAX,0.0376
1994-09-01,MAX,-0.0269
1994-10-03,MAX,0.0208
1994-11-01,MAX,-0.0395
1994-12-01,MAX,0.0123
1995-01-03,MIN,0.0243
1995-02-01,MIN,0.0361
1995-03-01,MIN,0.0273
1995-04-03,MAX,0.028
1995-05-01,MAX,0.0363
1995-06-01,MAX,0.0213
1995-07-03,MAX,0.0318
1995-08-01,MAX,-3e-4
1995-09-01,MAX,0.0401
1995-10-02,MAX,-0.005
1995-11-01,MAX,0.041
1995-12-01,MAX,0.0174
1996-01-02,MAX,0.0326
1996-02-01,MAX,0.0069
1996-03-01,MAX,0.0079
1996-04-01,MAX,0.0134
1996-05-01,MAX,0.0229
1996-06-03,MAX,0.0023
1996-07-01,MAX,-0.0457
1996-08-01,MAX,0.0188
1996-09-03,MAX,0.0542
1996-10-01,MAX,0.0261
1996-11-01,MAX,0.0734
1996-12-02,MAX,-0.0215
1997-01-02,MAX,0.0613
1997-02-03,MAX,0.0059
1997-03-03,MAX,-0.0426
1997-04-01,MAX,0.0584
1997-05-01,MAX,0.0586
1997-06-02,MAX,0.0435
1997-07-01,MAX,0.0781
1997-08-01,MAX,-0.0575
1997-09-02,MAX,0.0532
1997-10-01,MAX,-0.0345
1997-11-03,MAX,0.0446
1997-12-01,MAX,0.0157
1998-01-02,MAX,0.0102
1998-02-02,MAX,0.0704
1998-03-02,MAX,0.0499
1998-04-01,MAX,0.0091
1998-05-01,MAX,-0.0188
1998-06-01,MAX,0.0394
1998-07-01,MAX,-0.0116
1998-08-03,MAX,-0.1458
1998-09-01,MAX,0.0624
1998-10-01,MIN,0.0803
1998-11-02,MIN,0.0591
1998-12-01,MIN,0.0564
1999-01-04,MAX,0.041
1999-02-01,MAX,-0.0323
1999-03-01,MAX,0.0388
1999-04-01,MAX,0.0379
1999-05-03,MAX,-0.025
1999-06-01,MAX,0.0544
1999-07-01,MAX,-0.032
1999-08-02,MAX,-0.0063
1999-09-01,MAX,-0.0286
1999-10-01,MAX,0.0625
1999-11-01,MAX,0.0191
1999-12-01,MAX,0.0578
2000-01-03,MAX,-0.0509
2000-02-01,MAX,-0.0201
2000-03-01,MAX,0.0967
2000-04-03,MAX,-0.0308
2000-05-01,MAX,-0.0219
2000-06-01,MAX,0.0239
2000-07-03,MAX,-0.0163
2000-08-01,MAX,0.0607
2000-09-01,MAX,-0.0535
2000-10-02,MAX,-0.0049
2000-11-01,MAX,-0.0801
2000-12-01,MAX,0.0041
2001-01-02,MIN,0.0346
2001-02-01,MIN,-0.0923
2001-03-01,MIN,-0.0642
2001-04-02,MIN,0.0768
2001-05-01,MIN,0.0051
2001-06-01,MIN,-0.025
2001-07-02,MIN,-0.0107
2001-08-01,MIN,-0.0641
2001-09-04,MIN,-0.0817
2001-10-01,MIN,0.0181
2001-11-01,MIN,0.0752
2001-12-03,MIN,0.0076
2002-01-02,MAX,-0.0156
2002-02-01,MAX,-0.0208
2002-03-01,MAX,0.0367
2002-04-01,MAX,-0.0614
2002-05-01,MAX,-0.0091
2002-06-03,MAX,-0.0725
2002-07-01,MIN,-0.079
2002-08-01,MIN,0.0049
2002-09-03,MIN,-0.11
2002-10-01,MIN,0.0864
2002-11-01,MIN,0.0571
2002-12-02,MIN,-0.0603
2003-01-02,MIN,-0.0274
2003-02-03,MIN,-0.017
2003-03-03,MIN,0.0084
2003-04-01,MIN,0.081
2003-05-01,MIN,0.0509
2003-06-02,MIN,0.0113
2003-07-01,MAX,0.0162
2003-08-01,MAX,0.0179
2003-09-02,MAX,-0.0119
2003-10-01,MAX,0.055
2003-11-03,MAX,0.0071
2003-12-01,MAX,0.0508
2004-01-02,MAX,0.0173
2004-02-02,MAX,0.0122
2004-03-01,MAX,-0.0164
2004-04-01,MAX,-0.0168
2004-05-03,MAX,0.0121
2004-06-01,MAX,0.018
2004-07-01,MAX,-0.0343
2004-08-02,MAX,0.0023
2004-09-01,MAX,0.0094
2004-10-01,MAX,0.014
2004-11-01,MAX,0.0386
2004-12-01,MAX,0.0325
2005-01-03,MAX,-0.0253
2005-02-01,MAX,0.0189
2005-03-01,MAX,-0.0191
2005-04-01,MAX,-0.0201
2005-05-02,MAX,0.03
2005-06-01,MAX,-1e-4
2005-07-01,MAX,0.036
2005-08-01,MAX,-0.0112
2005-09-01,MAX,0.0069
2005-10-03,MAX,-0.0177
2005-11-01,MAX,0.0352
2005-12-01,MAX,-0.001
2006-01-03,MAX,0.0255
2006-02-01,MAX,5e-4
2006-03-01,MAX,0.0111
2006-04-03,MAX,0.0122
2006-05-01,MAX,-0.0309
2006-06-01,MAX,1e-4
2006-07-03,MIN,0.0051
2006-08-01,MIN,0.0213
2006-09-01,MIN,0.0246
2006-10-02,MAX,0.0315
2006-11-01,MAX,0.0165
2006-12-01,MAX,0.0126
2007-01-03,MAX,0.0141
2007-02-01,MAX,-0.0218
2007-03-01,MAX,0.01
2007-04-02,MIN,0.0433
2007-05-01,MIN,0.0325
2007-06-01,MIN,-0.0178
2007-07-02,MAX,-0.032
2007-08-01,MAX,0.0129
2007-09-04,MAX,0.0358
2007-10-01,MAX,0.0148
2007-11-01,MAX,-0.044
2007-12-03,MAX,-0.0086
2008-01-02,MIN,-0.0612
2008-02-01,MIN,-0.0348
2008-03-03,MIN,-0.006
2008-04-01,MIN,0.0475
2008-05-01,MIN,0.0107
2008-06-02,MIN,-0.086
2008-07-01,MIN,-0.0099
2008-08-01,MIN,0.0122
2008-09-02,MIN,-0.0908
2008-10-01,MIN,-0.1694
2008-11-03,MIN,-0.0748
2008-12-01,MIN,0.0078
2009-01-02,MIN,-0.0857
2009-02-02,MIN,-0.1099
2009-03-02,MIN,0.0854
2009-04-01,MIN,0.0939
2009-05-01,MIN,0.0531
2009-06-01,MIN,2e-4
2009-07-01,MAX,0.0741
2009-08-03,MAX,0.0336
2009-09-01,MAX,0.0357
2009-10-01,MAX,-0.0198
2009-11-02,MAX,0.0574
2009-12-01,MAX,0.0178
2010-01-04,MAX,-0.037
2010-02-01,MAX,0.0285
2010-03-01,MAX,0.0588
2010-04-01,MAX,0.0148
2010-05-03,MAX,-0.082
2010-06-01,MAX,-0.053900000000000003
2010-07-01,MIN,0.0688
2010-08-02,MIN,-0.0474
2010-09-01,MIN,0.0876
2010-10-01,MAX,0.0369
2010-11-01,MAX,-0.0023
2010-12-01,MAX,0.0653
2011-01-03,MAX,0.0226
2011-02-01,MAX,0.032
2011-03-01,MAX,-0.001
2011-04-01,MAX,0.0285
2011-05-02,MAX,-0.0135
2011-06-01,MAX,-0.0183
2011-07-01,MIN,-0.0215
2011-08-01,MIN,-0.0568
2011-09-01,MIN,-0.0718
2011-10-03,MIN,0.1077
2011-11-01,MIN,-0.0051
2011-12-01,MIN,0.0085
2012-01-03,MIN,0.0436
2012-02-01,MIN,0.0406
2012-03-01,MIN,0.0313
2012-04-02,MAX,-0.0075
2012-05-01,MAX,-0.0627
2012-06-01,MAX,0.0396
2012-07-02,MIN,0.0126
2012-08-01,MIN,0.0198
2012-09-04,MIN,0.0242
2012-10-01,MAX,-0.0198
2012-11-01,MAX,0.0028
2012-12-03,MAX,0.0071
2013-01-02,MAX,0.0504
2013-02-01,MAX,0.0111
2013-03-01,MAX,0.036
2013-04-01,MAX,0.0181
2013-05-01,MAX,0.0208
2013-06-03,MAX,-0.015
2013-07-01,MAX,0.0495
2013-08-01,MAX,-0.0313
2013-09-03,MAX,0.0297
2013-10-01,MAX,0.0446
2013-11-01,MAX,0.028
2013-12-02,MAX,0.0236
2014-01-02,MAX,-0.0356
2014-02-03,MAX,0.0431
2014-03-03,MAX,0.0069
2014-04-01,MAX,0.0062
2014-05-01,MAX,0.021
2014-06-02,MAX,0.0191
2014-07-01,MAX,-0.0151
2014-08-01,MAX,0.0377
2014-09-02,MAX,-0.0155
2014-10-01,MAX,0.0232
2014-11-03,MAX,0.0245
2014-12-01,MAX,-0.0042
2015-01-02,MAX,-0.031
2015-02-02,MAX,0.0549
2015-03-02,MAX,-0.0174
2015-04-01,MAX,0.0085
2015-05-01,MAX,0.0105
2015-06-01,MAX,-0.021
2015-07-01,MAX,0.0197
2015-08-03,MAX,-0.0626
2015-09-01,MAX,-0.0264
2015-10-01,MIN,0.083
2015-11-02,MIN,5e-4
2015-12-01,MIN,-0.0175
2016-01-04,MAX,-0.0507
2016-02-01,MAX,-0.0041
2016-03-01,MAX,0.066
2016-04-01,MAX,0.0027
2016-05-02,MAX,0.0153
2016-06-01,MAX,9e-4
2016-07-01,MAX,0.0356
2016-08-01,MAX,-0.0012
2016-09-01,MAX,-0.0012
2016-10-03,MAX,-0.0194
2016-11-01,MAX,0.0342
2016-12-01,MAX,0.0182
2017-01-03,MAX,0.0179
2017-02-01,MAX,0.0372
2017-03-01,MAX,-4e-4
2017-04-03,MAX,0.0091
2017-05-01,MAX,0.0116
2017-06-01,MAX,0.0048
2017-07-03,MAX,0.0203
